Column1;Column2;Column3;Column4;Column5
time_avg_ms;time_std_ms;time_p95_ms;time_p99_ms;instance_type
1.7887968998911674;0.011211108635183882;1.8003270504777902;1.8026292901413399;inf2.xlarge
